RANGO ETARIO,NIVEL EDUCACIONAL,SEXO,ESTADO CIVIL,ACTIVIDAD,ESTADO ACTUAL,AÑO APERTURA TARJETA,CUPO MÁXIMO,PORCENTAJE DE USO DEL CUPO,VECES QUE COMPRA EN PROMEDIO AL AÑO,UNIDADES COMPRADAS DEL PRODUCTO A,UNIDADES COMPRADAS DEL PRODUCTO B,CANTIDAD HISTORICA DE ATRASOS EN PAGOS,COMPRA PRODUCTO EN PROMOCIÓN
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2014,"615,000",100.0%,9,1,0,14,SI
ENTRE 40 Y 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",11.8%,11,2,7,7,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2006,"532,075",100.0%,19,8,3,19,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2009,"301,500",39.1%,8,7,3,15,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,,SIN DEUDA,2007,"301,500",0.0%,7,6,10,11,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,EMPRESARIO,DEUDA DE 1 MES,2014,"301,500",0.0%,7,6,10,18,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,1,0,16,SI
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2014,"639,759",100.0%,10,4,7,15,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,EMPRESARIO,SIN DEUDA,2012,"397,160",100.0%,7,10,7,2,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,7,9,4,19,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2006,"301,500",0.0%,5,3,9,22,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2014,"301,500",46.6%,9,10,7,23,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2012,"301,500",0.0%,9,8,3,21,NO
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,7,10,3,20,NO
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2013,"301,500",0.0%,5,10,4,15,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,EMPRESARIO,SIN DEUDA,2005,"301,500",8.8%,7,9,4,6,SI
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,6,8,8,14,SI
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2012,"301,500",0.0%,8,1,4,24,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2006,"1,131,186",100.0%,8,2,1,14,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.2%,10,7,10,5,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"464,232",100.0%,9,2,8,19,SI
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.5%,9,5,4,23,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2005,"301,500",0.0%,5,2,1,24,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,7,2,9,18,SI
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,5,2,3,5,NO
MENOR QUE 30,EDUC. MEDIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2014,"301,500",0.0%,8,8,1,4,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"1,771,005",100.0%,10,5,0,15,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,8,7,5,24,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",0.0%,5,8,4,2,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2014,"301,500",0.0%,9,0,6,22,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,3,3,6,SI
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,5,3,9,12,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2012,"301,500",100.0%,10,5,2,16,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"2,670,904",100.0%,9,5,9,7,NO
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,CASADO,EMPRESARIO,SIN DEUDA,2006,"301,500",0.0%,6,7,6,24,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,6,1,4,18,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,8,2,8,13,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,7,9,5,4,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2012,"301,500",0.0%,5,10,8,12,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,EMPRESARIO,SIN DEUDA,2010,"301,500",0.2%,5,4,3,15,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,9,10,22,NO
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,MASCULINO,CASADO,,SIN DEUDA,2005,"301,500",54.2%,8,3,0,5,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"2,903,656",100.0%,9,10,4,2,SI
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,EMPRESARIO,SIN DEUDA,2010,"301,500",0.0%,5,2,0,3,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2006,"301,500",94.2%,17,2,9,1,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,0,9,19,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,6,8,0,0,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,9,3,1,18,NO
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",8.5%,6,9,6,13,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",28.0%,7,1,2,25,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,0,4,21,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,5,7,7,7,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO, ,SIN DEUDA,2005,"301,500",0.0%,7,1,3,9,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2014,"301,500",0.0%,5,2,10,24,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,5,7,9,0,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,12,6,1,11,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2006,"506,122",100.0%,6,8,3,23,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,0,3,5,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",92.0%,10,5,1,13,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,6,3,10,9,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,7,6,5,21,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,9,3,2,13,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2008,"365,738",100.0%,7,2,7,14,NO
ENTRE 40 Y 50,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,1,6,4,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2014,"301,500",81.3%,11,6,10,12,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,6,5,3,13,SI
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,6,10,0,18,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,ESTUDIANTE,DEUDA DE 2 MESES,2014,"301,500",0.0%,5,5,3,12,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,8,10,4,3,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",11.3%,7,3,5,2,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,1,8,15,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",15.0%,6,6,10,12,SI
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2006,"826,876",100.0%,7,2,8,16,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"2,649,136",100.0%,6,1,7,19,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"819,622",100.0%,6,4,2,11,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",66.2%,5,3,7,6,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,8,6,1,10,NO
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,SEPARADO, ,DEUDA DE 2 MESES,2005,"301,500",83.9%,8,6,7,8,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,VIUDO,,SIN DEUDA,2007,"301,500",99.6%,5,6,7,14,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",37.6%,10,8,7,5,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,EMPRESARIO,SIN DEUDA,2009,"301,500",0.1%,12,7,10,6,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,6,8,7,5,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2008,"301,500",0.0%,5,5,2,16,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",14.9%,5,3,4,2,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,6,2,5,20,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2009,"301,500",0.0%,5,0,7,1,SI
ENTRE 40 Y 50,EDUC. MEDIA,FEMENINO,CASADO,EMPRESARIO,SIN DEUDA,2011,"301,500",0.0%,7,4,6,25,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,5,2,6,8,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2005,"301,500",43.2%,7,9,9,23,NO
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2014,"390,219",100.0%,6,6,4,16,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2006,"301,500",0.0%,5,2,5,22,NO
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.0%,6,3,4,23,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2009,"301,500",23.4%,7,7,9,10,SI
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"465,763",100.0%,11,8,3,17,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2012,"301,500",0.1%,7,2,8,19,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"868,670",100.0%,7,2,0,10,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,EMPRESARIO,DEUDA DE 1 MES,2005,"3,354,700",100.0%,8,0,8,7,NO
MAYOR QUE 50,EDUC. TÉCNICA,FEMENINO,SOLTERO, ,SIN DEUDA,2005,"301,500",0.0%,6,4,6,13,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,1,6,24,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,6,6,10,16,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,6,9,9,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",21.0%,9,8,9,22,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,3,8,9,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2010,"1,733,848",100.0%,6,2,0,9,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",71.5%,12,1,3,0,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2011,"301,500",0.0%,5,7,1,12,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,5,8,5,10,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"509,601",100.0%,7,10,6,3,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,8,4,0,19,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2005,"460,565",100.0%,6,4,6,11,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",73.0%,13,0,8,17,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"301,500",0.0%,6,9,3,13,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",0.0%,7,1,1,15,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",43.4%,6,6,2,19,NO
MENOR QUE 30,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2005,"301,500",0.0%,7,3,3,19,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2008,"301,500",91.2%,7,2,2,8,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2006,"301,500",32.1%,9,9,3,0,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,DEUDA DE 1 MES,2014,"301,500",0.0%,5,3,6,20,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",11.4%,7,4,10,13,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,9,4,11,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"501,871",100.0%,8,3,9,15,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"6,681,373",100.0%,11,5,6,21,NO
